model,cut-off,Fs,experiment,target,accuracy,frames
CV_NN,2,10,E9,dvc,0.6728681921958923,3221
CV_NN,2,5,E9,dvc,0.8124030828475952,3221
CV_NN,1,100,E9,dvc,0.8155038952827454,3221
CV_NN,1,10,E9,dvc,0.3720930218696594,3221
CV_NN,1,5,E9,dvc,0.37829458713531494,3221
CV_NN,1,2.5,E9,dvc,0.7379844784736633,3221
IQSplit,4,100,F10,dvc,0.7922506332397461,6064
IQSplit,4,10,F10,dvc,0.6784831285476685,6064
IQSplit,2,100,F10,dvc,0.8186314702033997,6064
IQSplit,2,10,F10,dvc,0.5993404984474182,6064
IQSplit,2,5,F10,dvc,0.6784831285476685,6064
IQSplit,1,100,F10,dvc,0.7131080031394958,6064
IQSplit,1,10,F10,dvc,0.5795547962188721,6064
IQSplit,1,5,F10,dvc,0.583676815032959,6064
IQSplit,1,2.5,F10,dvc,0.5737839937210083,6064
CV_NN,4,100,F10,dvc,0.8870568871498108,6064
CV_NN,4,10,F10,dvc,0.6850783228874207,6064
CV_NN,2,100,F10,dvc,0.8392415642738342,6064
CV_NN,2,10,F10,dvc,0.668590247631073,6064
CV_NN,2,5,F10,dvc,0.39241549372673035,6064
CV_NN,1,100,F10,dvc,0.8705688118934631,6064
CV_NN,1,10,F10,dvc,0.6207749247550964,6064
CV_NN,1,5,F10,dvc,0.5803792476654053,6064
CV_NN,1,2.5,F10,dvc,0.39241549372673035,6064
IQSplit,4,100,F11,dvc,0.7108533382415771,6035
IQSplit,4,10,F11,dvc,0.6097763180732727,6035
IQSplit,2,100,F11,dvc,0.6454018354415894,6035
IQSplit,2,10,F11,dvc,0.5791217684745789,6035
IQSplit,2,5,F11,dvc,0.5517812967300415,6035
IQSplit,1,100,F11,dvc,0.666114330291748,6035
IQSplit,1,10,F11,dvc,0.6420878171920776,6035
IQSplit,1,5,F11,dvc,0.5691797733306885,6035
IQSplit,1,2.5,F11,dvc,0.5070422291755676,6035
CV_NN,4,100,F11,dvc,0.7671914100646973,6035
CV_NN,4,10,F11,dvc,0.4987572431564331,6035
CV_NN,2,100,F11,dvc,0.7539353966712952,6035
CV_NN,2,10,F11,dvc,0.726594865322113,6035
CV_NN,2,5,F11,dvc,0.6743993163108826,6035
CV_NN,1,100,F11,dvc,0.7696768641471863,6035
CV_NN,1,10,F11,dvc,0.560066282749176,6035
CV_NN,1,5,F11,dvc,0.7191383838653564,6035
CV_NN,1,2.5,F11,dvc,0.2344656139612198,6035
IQSplit,4,100,E1,dvc,0.7965517044067383,1448
IQSplit,4,10,E1,dvc,0.6137930750846863,1448
IQSplit,2,100,E1,dvc,0.751724123954773,1448
IQSplit,2,10,E1,dvc,0.6896551847457886,1448
IQSplit,2,5,E1,dvc,0.5965517163276672,1448
IQSplit,1,100,E1,dvc,0.8034482598304749,1448
IQSplit,1,10,E1,dvc,0.6379310488700867,1448
IQSplit,1,5,E1,dvc,0.5275862216949463,1448
IQSplit,1,2.5,E1,dvc,0.48620688915252686,1448
CV_NN,4,100,E1,dvc,0.7758620977401733,1448
CV_NN,4,10,E1,dvc,0.8413792848587036,1448
CV_NN,2,100,E1,dvc,0.8103448152542114,1448
CV_NN,2,10,E1,dvc,0.8551723957061768,1448
CV_NN,2,5,E1,dvc,0.8103448152542114,1448
CV_NN,1,100,E1,dvc,0.8068965673446655,1448
CV_NN,1,10,E1,dvc,0.7965517044067383,1448
CV_NN,1,5,E1,dvc,0.7862069010734558,1448
CV_NN,1,2.5,E1,dvc,0.7862069010734558,1448
IQSplit,4,100,E2,pos,0.8374999761581421,797
IQSplit,4,10,E2,pos,0.8062499761581421,797
IQSplit,2,100,E2,pos,0.8187500238418579,797
IQSplit,2,10,E2,pos,0.7250000238418579,797
IQSplit,2,5,E2,pos,0.7437499761581421,797
IQSplit,1,100,E2,pos,0.8374999761581421,797
IQSplit,1,10,E2,pos,0.84375,797
IQSplit,1,5,E2,pos,0.7437499761581421,797
IQSplit,1,2.5,E2,pos,0.7124999761581421,797
